,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,average_score,lat,lng,normalized_average_score
0,Alameda,KK-08,195,10,0.51,2.04,67,6384.91,22.69,0.0,691.6,690.0,690.8,37.5894,-121.8854,1.9232028388872515
1,Butte,KK-08,240,11,15.42,47.92,101,5099.38,9.82,4.58,660.5,661.9,661.2,40.0871,-121.537,0.36967007021578957
2,Butte,KK-08,1550,82,55.03,76.32,169,5501.95,8.98,30.0,636.3,650.9,643.6,40.0871,-121.537,-0.5540521165618405
3,Butte,KK-08,243,14,36.48,77.05,85,7101.83,8.98,0.0,651.9,643.5,647.7,40.0871,-121.537,-0.33886683441477805
4,Butte,KK-08,1335,71,33.11,78.43,171,5235.99,9.08,13.86,641.8,639.9,640.85,40.0871,-121.537,-0.6983837082458451
5,Fresno,KK-08,137,6,12.32,86.96,25,5580.15,10.41,12.41,605.7,605.4,605.55,36.4042,-120.1341,-2.5510765033168883
6,San Joaquin,KK-08,195,10,12.9,94.62,28,5253.33,6.58,68.72,604.5,609.0,606.75,37.9299,-121.0043,-2.4880954451275024
7,Kern,KK-08,888,42,18.81,100.0,66,4565.75,8.17,46.96,605.5,612.5,609.0,35.1779,-119.5472,-2.3700059610224073
8,Fresno,KK-08,379,19,32.19,93.14,35,5355.55,7.39,30.08,608.9,616.1,612.5,36.4042,-120.1341,-2.186311207970038
9,Sacramento,KK-06,2247,108,78.99,87.32,0,5036.21,11.61,40.28,611.9,613.4,612.65,38.4636,-121.5022,-2.1784385756963665
10,Merced,KK-08,446,21,18.61,85.87,86,4547.69,8.93,52.91,612.8,618.7,615.75,37.2965,-120.3789,-2.0157375087071236
11,Fresno,KK-08,987,47,71.71,98.61,56,5447.35,7.39,54.61,616.6,616.0,616.3,36.4042,-120.1341,-1.9868711903703253
12,Tulare,KK-08,103,5,22.43,98.13,25,6567.15,5.34,42.72,612.8,619.8,616.3,35.8114,-118.6364,-1.9868711903703253
13,Tulare,KK-08,487,24,24.61,77.15,0,4818.61,8.28,20.53,610.0,622.6,616.3,35.8114,-118.6364,-1.9868711903703253
14,Tulare,KK-08,649,36,14.64,76.27,31,5621.46,9.63,80.12,611.9,621.0,616.45,35.8114,-118.6364,-1.9789985580966476
15,Tulare,KK-08,852,42,24.21,94.3,80,6026.36,7.45,49.41,614.8,619.9,617.35,35.8114,-118.6364,-1.931762764454611
16,Kern,KK-08,491,28,11.2,97.76,100,6723.24,6.22,85.54,611.7,624.4,618.05,35.1779,-119.5472,-1.8950238138441406
17,Kern,KK-08,421,25,8.55,77.91,50,5589.89,7.76,58.91,614.9,621.7,618.3,35.1779,-119.5472,-1.8819027600546856
18,Los Angeles,KK-08,6880,303,21.28,94.97,960,5064.62,7.02,77.01,619.1,620.5,619.8,34.0019,-118.2106,-1.803176437317956
19,Kern,KK-08,2688,135,23.44,93.23,139,5433.59,5.7,49.81,621.3,619.3,620.3,35.1779,-119.5472,-1.7769343297390459
20,Imperial,KK-08,440,24,34.77,100.0,69,5725.56,7.94,40.68,615.6,625.4,620.5,33.4279,-114.7273,-1.7664374867074797
21,Tulare,KK-08,475,21,21.65,91.55,53,4542.1,9.63,16.21,619.9,622.9,621.4,35.8114,-118.6364,-1.719201693065443
22,Kern,KK-08,2538,130,18.91,70.82,169,5107.09,7.41,45.07,622.9,620.6,621.75,35.1779,-119.5472,-1.7008322177602049
23,Tulare,KK-08,476,19,43.86,100.0,0,4659.66,9.63,39.08,620.7,623.4,622.05,35.8114,-118.6364,-1.6850869532128612
24,Merced,KK-08,2357,114,16.8,90.62,216,4555.46,8.02,76.67,619.5,625.7,622.6,37.2965,-120.3789,-1.6562206348760569
25,Tulare,KK-08,1588,85,22.41,85.15,198,5415.15,8.52,40.49,625.0,621.2,623.1,35.8114,-118.6364,-1.629978527297147
26,Monterey,KK-06,7306,319,17.0,88.03,742,4997.87,7.98,73.72,620.4,626.0,623.2,36.8019,-121.7872,-1.6247301057813637
27,Kern,KK-08,2601,135,15.07,92.2,269,5223.91,7.3,70.01,616.5,630.4,623.45,35.1779,-119.5472,-1.6116090519919088
28,Tulare,KK-08,847,44,16.29,90.2,67,5139.16,8.93,55.96,620.1,627.1,623.6,35.8114,-118.6364,-1.6037364197182369
29,Tulare,KK-08,452,22,14.5,81.02,55,4614.25,8.55,11.06,627.9,620.4,624.15,35.8114,-118.6364,-1.5748701013814383
30,San Diego,KK-08,4142,201,35.56,81.51,569,5342.23,6.61,80.42,620.4,628.7,624.55,32.8711,-116.4247,-1.5538764153183118
31,Monterey,KK-08,2102,99,15.32,90.28,224,5347.46,12.41,63.13,623.0,626.9,624.95,36.8019,-121.7872,-1.532882729255179
32,Los Angeles,KK-08,10012,464,29.76,91.59,721,5036.46,8.13,65.12,620.8,629.8,625.3,34.0019,-118.2106,-1.5145132539499468
33,Monterey,KK-08,2488,125,12.69,55.09,202,5117.14,11.43,53.42,626.1,625.6,625.85,36.8019,-121.7872,-1.4856469356131423
34,San Bernardino,KK-08,25151,1186,17.44,80.2,1713,5117.04,11.72,49.82,625.4,626.8,626.1,34.176,-114.264,-1.4725258818236875
35,Los Angeles,KK-08,2267,103,19.15,84.43,177,5272.19,11.33,35.47,625.4,628.2,626.8,34.0019,-118.2106,-1.4357869312132172
36,Merced,KK-08,1657,90,28.85,84.73,204,5225.72,9.6,56.13,623.6,630.2,626.9,37.2965,-120.3789,-1.430538509697434
37,Fresno,KK-08,284,17,14.53,94.93,18,6516.53,14.56,32.39,628.9,625.3,627.1,36.4042,-120.1341,-1.4200416666658675
38,San Mateo,KK-08,5370,280,19.57,81.12,562,4559.18,22.06,65.51,624.4,630.1,627.25,37.2658,-122.3007,-1.4121690343921958
39,Kern,KK-08,2471,121,23.8,87.78,275,5119.16,9.71,53.06,627.5,627.1,627.3,35.1779,-119.5472,-1.409544823634307
40,Ventura,KK-08,15386,669,12.51,71.43,1762,5338.19,11.48,49.64,627.8,628.7,628.25,34.258,-118.6662,-1.359684819234376
41,Merced,KK-08,184,9,22.28,85.87,40,5090.04,8.18,45.11,621.6,635.2,628.4,37.2965,-120.3789,-1.3518121869607043
42,Kern,KK-08,1217,61,33.91,88.1,78,5485.5,8.17,30.32,629.4,627.7,628.55,35.1779,-119.5472,-1.3439395546870325
43,Kern,KK-08,6219,268,21.5,100.0,571,4793.37,7.5,52.24,621.1,636.2,628.65,35.1779,-119.5472,-1.3386911331712492
44,Riverside,KK-06,4258,221,24.66,92.74,324,5092.92,10.05,36.8,626.5,631.0,628.75,38.4464,-122.1945,-1.3334427116554661
45,Los Angeles,KK-08,1235,53,8.22,62.13,175,4359.52,7.33,30.28,630.2,629.4,629.8,34.0019,-118.2106,-1.2783342857397577
46,Santa Clara,KK-08,16244,766,17.45,69.74,1423,5645.5,12.58,49.86,629.5,631.2,630.35,37.3116,-121.9357,-1.2494679674029532
47,Kern,KK-08,814,39,19.78,67.44,85,4518.02,15.18,13.76,631.9,628.9,630.4,35.1779,-119.5472,-1.2468437566450645
48,Kern,KK-08,27176,1429,39.22,84.29,3324,5864.37,12.11,28.86,631.6,629.5,630.55,35.1779,-119.5472,-1.2389711243713928
49,Santa Clara,KK-08,10696,487,22.16,70.9,1306,5258.0,11.78,52.8,628.5,632.6,630.55,37.3116,-121.9357,-1.2389711243713928
50,Los Angeles,KK-08,8935,444,36.95,79.51,786,5016.69,14.06,44.09,628.4,633.7,631.05,34.0019,-118.2106,-1.212729016792483
51,Madera,KK-08,1600,74,27.26,79.73,242,4720.09,10.47,35.25,635.7,627.1,631.4,36.8799,-120.1147,-1.1943595414872448
52,Monterey,KK-06,9028,449,13.99,69.94,669,5470.56,13.41,37.49,633.0,630.7,631.85,36.8019,-121.7872,-1.1707416446662233
53,Santa Barbara,KK-08,10625,521,7.5,77.53,896,5615.44,12.3,50.39,629.6,634.2,631.9,34.9312,-119.6148,-1.168117433908335
54,Los Angeles,KK-08,7151,318,18.55,61.74,560,5245.44,15.4,31.07,634.2,629.7,631.95,34.0019,-118.2106,-1.1654932231504402
55,Los Angeles,KK-08,2404,105,20.93,52.94,202,4838.18,13.76,18.26,633.5,630.5,632.0,34.0019,-118.2106,-1.1628690123925516
56,Los Angeles,KK-08,5804,283,28.34,81.12,480,5367.99,14.18,34.7,631.4,633.0,632.2,34.0019,-118.2106,-1.1523721693609852
57,Sacramento,KK-06,2253,112,43.5,84.55,196,5526.24,8.86,33.29,637.5,627.0,632.25,38.4636,-121.5022,-1.1497479586030968
58,Monterey,KK-08,2807,126,15.46,52.4,152,4353.02,13.0,33.49,637.3,627.6,632.45,36.8019,-121.7872,-1.1392511155715304
59,Ventura,KK-08,3074,142,11.29,66.19,249,5034.29,11.59,38.16,633.2,632.5,632.85,34.258,-118.6662,-1.1182574295084036
60,Tulare,KK-08,723,37,25.92,83.16,45,4692.49,8.28,36.93,629.2,636.7,632.95,35.8114,-118.6364,-1.1130090079926205
61,Sacramento,KK-06,5138,290,58.75,85.0,560,5606.78,10.91,32.99,630.3,635.8,633.05,38.4636,-121.5022,-1.1077605864768432
62,Orange,KK-06,20927,953,10.91,82.39,1048,4969.18,13.4,58.22,629.6,636.7,633.15,33.818,-117.8104,-1.10251216496106
63,Kings,KK-08,3017,138,14.98,56.06,496,4675.67,11.08,17.0,634.4,632.9,633.65,36.4026,-119.7208,-1.0762700573821502
64,Kings,KK-08,957,50,27.17,82.13,149,5306.13,9.08,17.66,634.7,633.1,633.9,36.4026,-119.7208,-1.0631490035926952
65,Kern,KK-08,1639,90,46.89,80.6,287,5693.88,13.39,7.32,638.4,629.6,634.0,35.1779,-119.5472,-1.057900582076912
66,Los Angeles,KK-08,4340,209,17.7,93.92,284,5181.58,14.6,31.2,631.9,636.2,634.05,34.0019,-118.2106,-1.0552763713190234
67,Kings,KK-08,5079,224,25.56,63.8,585,5228.65,11.12,16.62,637.7,630.5,634.1,36.4026,-119.7208,-1.0526521605611288
68,San Diego,KK-06,6639,304,26.84,100.0,505,5339.39,8.42,58.08,631.5,636.7,634.1,32.8711,-116.4247,-1.0526521605611288
69,Sonoma,KK-06,1154,62,22.93,84.92,129,6056.5,11.66,55.89,636.8,631.5,634.15,38.3463,-123.0595,-1.0500279498032403
70,Kern,KK-08,237,11,19.83,76.79,13,4845.68,7.3,5.49,631.8,636.6,634.2,35.1779,-119.5472,-1.0474037390453457
71,Los Angeles,KK-08,2987,141,21.26,68.4,273,4826.67,13.73,14.43,637.7,631.1,634.4,34.0019,-118.2106,-1.0369068960137853
72,Kings,KK-08,499,30,40.37,83.12,94,5367.09,11.12,22.85,635.5,633.6,634.55,36.4026,-119.7208,-1.0290342637401135
73,Merced,KK-08,11474,542,40.55,77.01,1248,5742.73,10.36,38.78,633.2,636.2,634.7,37.2965,-120.3789,-1.0211616314664358
74,Santa Barbara,KK-08,1088,55,14.15,86.03,107,4136.25,6.98,64.25,631.1,638.7,634.9,34.9312,-119.6148,-1.0106647884348754
75,San Bernardino,KK-08,2660,140,15.76,74.85,259,5267.83,14.47,25.23,637.8,632.1,634.95,34.176,-114.264,-1.0080405776769807
76,Contra Costa,KK-08,353,19,8.67,33.06,8,5238.39,14.65,5.38,636.6,633.5,635.05,38.0446,-122.185,-1.0027921561612037
77,Humboldt,KK-08,329,18,28.92,85.54,37,5462.9,10.63,6.08,644.3,626.1,635.2,40.3987,-123.9474,-0.9949195238875258
78,Siskiyou,KK-08,252,16,23.46,66.26,32,6313.37,9.78,0.0,640.9,630.0,635.45,41.5815,-121.9151,-0.9817984700980709
79,Siskiyou,KK-08,175,12,21.76,68.82,31,6653.03,10.66,0.0,634.6,636.6,635.6,41.5815,-121.9151,-0.9739258378243991
80,Ventura,KK-08,3835,186,13.99,72.86,897,5533.15,11.94,34.89,633.0,638.2,635.6,34.258,-118.6662,-0.9739258378243991
81,Fresno,KK-08,314,19,29.94,93.63,8,6118.71,7.39,13.06,636.7,634.8,635.75,36.4042,-120.1341,-0.9660532055507273
82,Merced,KK-08,4458,211,22.22,72.32,445,5098.63,10.68,36.03,633.2,638.7,635.95,37.2965,-120.3789,-0.955556362519161
83,Merced,KK-08,1313,75,32.09,73.6,112,5652.88,9.97,34.65,633.9,638.3,636.1,37.2965,-120.3789,-0.9476837302454891
84,Fresno,KK-08,474,26,21.52,75.74,36,5329.0,8.26,28.69,634.7,638.3,636.5,36.4042,-120.1341,-0.9266900441823624
85,San Bernardino,KK-08,1114,57,29.45,62.21,277,5929.81,8.9,1.8,645.4,627.8,636.6,34.176,-114.264,-0.9214416226665793
86,Riverside,KK-06,1358,65,14.79,80.87,178,4897.07,12.06,30.63,632.3,641.1,636.7,38.4464,-122.1945,-0.916193201150796
87,Los Angeles,KK-08,11629,546,25.38,83.87,1015,5100.2,9.43,59.03,632.4,641.4,636.9,34.0019,-118.2106,-0.9056963581192358
88,Kern,KK-08,6195,306,21.04,68.57,1261,4825.72,8.92,13.56,636.2,637.7,636.95,35.1779,-119.5472,-0.9030721473613411
89,Tulare,KK-08,499,20,23.7,80.92,35,4079.13,10.1,5.01,636.1,637.9,637.0,35.8114,-118.6364,-0.9004479366034526
90,Sacramento,KK-08,417,23,19.9,46.04,27,5349.37,11.83,0.96,638.0,636.2,637.1,38.4636,-121.5022,-0.8951995150876694
