county,grades,lat,lng,average_score,normalized_average_score
Alameda,KK-08,37.5894,-121.8854,690.8,0.8423913043478253
Butte,KK-08,40.0871,-121.53700000000002,645.183,0.39163372859025075
Calaveras,KK-08,38.3168,-120.491,656.8,0.5064229249011856
Contra Costa,KK-08,38.0446,-122.18499999999997,673.579,0.6722190852625636
El Dorado,KK-08,38.80259999999999,-120.8946,664.965,0.587104743083004
Fresno,KK-08,36.4042,-120.1341,636.238,0.30323616600790526
Glenn,KK-08,39.6002,-122.5376,660.967,0.5475955204216074
Humboldt,KK-06,40.3987,-123.9474,660.5,0.5429841897233203
Humboldt,KK-08,40.398700000000005,-123.9474,657.482,0.513163466967815
Imperial,KK-08,33.4279,-114.7273,640.683,0.3471673254281951
Inyo,KK-08,36.3123,-118.0261,659.4,0.5321146245059287
Kern,KK-08,35.177900000000015,-119.54719999999999,639.291,0.3334065290587034
Kings,KK-08,36.4026,-119.72080000000003,647.789,0.4173803249890207
Lake,KK-08,38.7518,-122.6221,641.475,0.35499011857707563
Lassen,KK-08,40.893,-121.1781,661.01,0.5480237154150199
Los Angeles,KK-06,34.0019,-118.2106,667.867,0.6157773386034254
Los Angeles,KK-08,34.001899999999985,-118.21059999999993,642.746,0.367547760210804
Madera,KK-08,36.8799,-120.1147,653.49,0.4737154150197629
Marin,KK-08,38.0605,-122.70079999999999,680.525,0.7408596837944662
Mendocino,KK-08,39.8635,-123.7253,639.3,0.33349802371541504
Merced,KK-08,37.296499999999995,-120.37889999999999,636.25,0.3033596837944668
Monterey,KK-06,36.8019,-121.7872,627.525,0.21714426877470405
Monterey,KK-08,36.8019,-121.78720000000001,641.16,0.3518774703557318
Nevada,KK-08,39.4443,-120.736,666.161,0.5989240228370666
Orange,KK-06,33.818000000000005,-117.8104,649.96,0.4388339920948619
Orange,KK-08,33.818000000000005,-117.8104,657.95,0.5177865612648224
Placer,KK-08,39.20799999999999,-120.83449999999999,665.932,0.5966582824290333
Riverside,KK-06,38.4464,-122.1945,632.725,0.26852766798419037
Riverside,KK-08,38.4464,-122.1945,648.3,0.42243083003952586
Sacramento,KK-06,38.4636,-121.5022,630.625,0.24777667984189744
Sacramento,KK-08,38.4636,-121.5022,645.967,0.3993741765480901
San Benito,KK-08,36.7904,-121.3105,650.017,0.4393939393939397
San Bernardino,KK-06,34.176,-114.264,648.95,0.4288537549407119
San Bernardino,KK-08,34.175999999999995,-114.264,648.772,0.4270970575318407
San Diego,KK-06,32.871100000000006,-116.42470000000002,665.831,0.5956645256916999
San Diego,KK-08,32.871100000000006,-116.42470000000002,657.096,0.5093493463058683
San Joaquin,KK-08,37.9299,-121.00430000000001,643.642,0.37639986824769495
San Luis Obispo,KK-06,35.5173,-120.5211,658.8,0.5261857707509883
San Luis Obispo,KK-08,35.5173,-120.5211,672.35,0.6600790513833994
San Mateo,KK-08,37.265800000000006,-122.30069999999999,668.991,0.6268890955591724
Santa Barbara,KK-06,34.9312,-119.61480000000002,684.34,0.7785573122529644
Santa Barbara,KK-08,34.9312,-119.61480000000002,651.742,0.45643939393939376
Santa Clara,KK-06,37.3116,-121.9357,679.5,0.7307312252964424
Santa Clara,KK-08,37.3116,-121.9357,664.508,0.5825878926565426
Santa Cruz,KK-06,36.8722,-121.8101,680.6,0.7416007905138337
Santa Cruz,KK-08,36.8722,-121.8101,659.6,0.5340909090909096
Shasta,KK-08,40.67219999999999,-121.42280000000004,658.835,0.526527820006081
Siskiyou,KK-06,41.5815,-121.9151,660.95,0.5474308300395259
Siskiyou,KK-08,41.5815,-121.91509999999997,647.743,0.4169254658385097
Sonoma,KK-06,38.34630000000001,-123.05950000000001,664.089,0.5784532972748078
Sonoma,KK-08,38.34629999999999,-123.0595,665.405,0.5914525691699606
Stanislaus,KK-08,37.8272,-120.9144,654.993,0.48856578204404333
Sutter,KK-08,38.8981,-121.5729,649.942,0.43865283267457195
Tehama,KK-08,40.3409,-121.91740000000001,653.262,0.471467391304348
Trinity,KK-08,40.6262,-123.4689,676.55,0.7015810276679844
Tulare,KK-08,35.81140000000001,-118.6364,638.692,0.3274868247694337
Tuolumne,KK-08,38.0957,-120.12850000000002,655.667,0.4952239789196316
Ventura,KK-08,34.258,-118.66620000000002,646.217,0.40184453227931516
Yuba,KK-08,39.2053,-121.2928,663.975,0.5773221343873525
